codigo,descricao,local,quantidade,est_mk,pend_mk,est_moleri,pend_moleri,est_cm,pend_cm,est_olimpo,pend_olimpo,preco,inventario_id
BBS1560499BD,"G10 15X6,0 4X99 ET38 BLACK DIAMOND",Planilha,3,3,0,0,0,0,0,0,0,370,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101510B444BD,"C10 15X10,0 4X100 ET-44 BLACK DIAMOND",Planilha,0,0,45,0,0,0,0,0,0,595,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101510G544BD,"C10 15X10,0 5X114 ET-44 BLACK DIAMOND",Planilha,7,7,9,0,0,0,0,0,0,595,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101540B410,"C10 15X4,0 4X100 ET10",Planilha,19,19,0,0,0,0,0,0,0,345,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101540B410BD,"C10 15X4,0 4X100 ET-10 BLACK DIAMOND",Planilha,49,49,0,4,0,0,0,0,0,396,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101540B410P,"C10 15X4,0 4X100 ET-10 POLIDA",Planilha,8,8,0,0,0,0,0,0,0,396,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101540G510,"C10 15X4,0 5X114 ET10",Planilha,10,10,0,0,0,0,0,0,0,345,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101540G510BD,"C10 15X4,0 5X114 ET-10 BLACK DIAMOND",Planilha,39,39,0,4,0,0,0,0,0,396,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101540G510P,"C10 15X4,0 5X114 ET-10 POLIDA",Planilha,8,8,0,0,0,0,0,0,0,396,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101570B430,"C10 15X7,0 4X100 ET30",Planilha,49,49,0,0,0,0,0,0,0,414,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101570B430BD,"C10 15X7,0 4X100 ET+30 BLACK DIAMOND",Planilha,210,210,56,4,0,0,0,0,0,464,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101570B430P,"C10 15X7,0 4X100 ET30 POLIDA",Planilha,33,33,0,4,0,0,0,0,0,464,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101570G525,"C10 15X7,0 5X114 ET25",Planilha,23,23,0,0,0,0,0,0,0,414,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101570G525BD,"C10 15X7,0 5X114 ET+25 BLACK DIAMOND",Planilha,72,72,0,0,0,0,0,0,0,464,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101570G525P,"C10 15X7,0 5X114 ET25 POLIDA",Planilha,8,8,0,0,0,0,0,0,0,464,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101580G520,"C10 15X8,0 5X114 ET20",Planilha,10,10,2,0,0,0,0,0,0,448,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101580G520BD,"C10 15X8,0 5X114 ET20 BLACK DIAMOND",Planilha,0,0,28,0,0,0,0,0,0,514,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101580G520P,"C10 15X8,0 5X114 ET20 POLIDA",Planilha,10,10,0,0,0,0,0,0,0,514,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101770B437BD,"C10 17X7,0 4X100 ET37 BLACK DIAMOND",Planilha,163,163,8,4,0,0,0,0,0,572,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101770G537,"C10 17X7,0 5X114 ET37",Planilha,5,5,0,0,0,0,0,0,0,512,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101770G537BD,"C10 17X7,0 5X114 ET37 BLACK DIAMOND",Planilha,2,2,10,0,0,0,0,0,0,572,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C101770G537P,"C10 17X7,0 5X114 ET37 POLIDA",Planilha,8,8,0,0,0,0,0,0,0,572,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C141540B410BD,"C14 15X4,0 4X100 ET-10 BLACK DIAMOND",Planilha,0,0,84,0,0,0,0,0,0,419,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C141540G510BD,"C14 15X4,0 5X114 ET-10 BLACK DIAMOND",Planilha,9,9,23,0,0,0,0,0,0,419,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C141570B430BD,"C14 15X7,0 4X100 ET30 BLACK DIAMOND",Planilha,104,104,0,0,0,0,0,0,0,488,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C141570G525BD,"C14 15X7,0 5X114 ET+25 BLACK DIAMOND",Planilha,16,16,0,0,0,0,0,0,0,488,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C141580B420BD,"C14 15X8,0 4X100 ET+20 BLACK DIAMOND",Planilha,6,6,43,0,0,0,0,0,0,526,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C141580G520,"C14 15X8,0 5X114 ET20",Planilha,0,0,40,0,0,0,0,0,0,491,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C141580G520BD,"C14 15X8,0 5X114 ET+20 BLACK DIAMOND",Planilha,46,46,4,0,0,0,0,0,0,526,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C171540B410BD,"C17 15X4,0 4X100 ET-10 BLACK DIAMOND",Planilha,1,1,13,0,0,0,0,0,0,373,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C171540B410HD,"C17 15X4,0 4X100 ET-10 HYPER DIAMOND",Planilha,1,1,27,0,0,0,0,0,0,373,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C171540G510HD,"C17 15X4,0 5X114 ET-10 HYPER DIAMOND",Planilha,6,6,12,0,0,0,0,0,0,373,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C171570B430BD,"C17 15X7,0 4X100 ET30 BLACK DIAMOND",Planilha,20,20,0,0,0,0,0,0,0,403,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C171570B430HD,"C17 15X7,0 4X100 ET30 HYPER DIAMOND",Planilha,88,88,0,0,0,0,0,0,0,403,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
C171570G525BD,"C17 15X7,0 5X114 ET25 BLACK DIAMOND",Planilha,15,15,3,0,0,0,0,0,0,403,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
