Código;Descrição;Local
1345;PNEU HANKOOK 255/60 R15 RA03 102H;
1388;PNEU HANKOOK 235/60 R14 RA03 96H;C10       
1547;PNEU 22 265 30 ZR22 97W XL D7 THUNDER;
1706;22 265 35 ZR22 102W XL DS8 DESERT STORMT;
1970;22 295 30 ZR22 110W XL DS8 DESERT STORM;
2148200001;PNEU HILFY 265/50R20 IIIV XL VIGORO HP80;
AMG1885112BD;AMG 18X8,0 5X112 ET40 PRETO DIAMANTADO;C6        
AMG19855112BD;AMG 19X8,5 5X112 ET45 PRETO DIAMANTADO;C9 D      
ARI19855100B;ARION 19X8,5 5X100 ET45 PRETO;C9 D      
ARI19855100GB;ARION 19X8,5 5X100 ET45 GRAFITE BRILHANT;C7        
ARI19855100SS;ARION 19X8,5 5X100 ET45 PRATA;
ARI19855105B;ARION 19X8,5 5X105 ET45 PRETO;C9 D      
ARI19855108B;ARION 19X8,5 5X108 ET45 PRETO;C9 E      
ARI19855108BZF;ARION 19X8,5 5X108 ET45 BRONZE FOSCO;
ARI19855108GB;ARION 19X8,5 5X108 ET45 GRAFITE BRILHANT;
ARI19855108SS;ARION 19X8,5 5X108 ET45 PRATA;
ARI19855113B;ARION 19X8,5 5X113 ET45 PRETO;SALA 6    
ARI19855113BZF;ARION 19X8,5 5X113 ET45 BRONZE FOSCO;C9 D      
ARI19855113GB;ARION 19X8,5 5X113 ET45 GRAFITE BRILHANT;SALA 5    
ARI19855113SS;ARION 19X8,5 5X113 ET45 PRATA;SALA 6    
ARI19855120B;ARION 19X8,5 5X120 ET45 PRETO;
ARI19855120BFZ;ARION 19X8,5 5X120 ET45 BRONZE FOSCO;
ARI19855120GB;ARION 19X8,5 5X120 ET45 GRAFITE BRILHANT;C9        
ARI19855120SS;ARION 19X8,5 5X120 ET45 PRATA;
B201560499B;B20 15X6,0 4X99 ET35 PRETO;
B201560499SS;B20 15X6,0 4X99 ET35 PRATA;C9 D      
BAL1570499108SD;BALLINA 15X7,0 4X99/108 ET35 PRATA DIAM;
BAL1760499SD;BALLINA 17X6,0 4X99 ET38 PRATA DIAMANTAD;
